Sample_ID,Group,Growth,Strain,Growth_Medium,Carbon_Source,Nitrogen_Source,Supplement,Description,File_Name,Gene_Sum,Source
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.036157076,Clim_O
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.03396863,Clim_O
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.034958735000000005,Clim_O
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.034779521,Clim_O
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.03290756,Clim_O
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.029253606,Clim_P
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.027865359899999997,Clim_P
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.026884854000000003,Clim_P
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.025394343,Clim_P
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.024589866000000002,Clim_P
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.026079918000000004,Clim_P
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.0264544258,Clim_P
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.024877716,Clim_P
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.02601353,Clim_P
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.025077645,Clim_P
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.0027453140000000004,Clim_Q
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.003744151,Clim_Q
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.00264179,Clim_Q
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.00364921,Clim_Q
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.0031252920000000004,Clim_Q
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.0038482530000000003,Clim_Q
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.004051416,Clim_Q
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.003747194,Clim_Q
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.004121113,Clim_Q
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.0029351410000000005,Clim_Q
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.007400385,Clim_R
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.008545617200000001,Clim_R
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.007407967299999999,Clim_R
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.008583040799999999,Clim_R
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.008616729,Clim_R
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.009899186999999999,Clim_R
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.010280887999999998,Clim_R
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.010107642,Clim_R
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.010268697,Clim_R
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.0063450061999999995,Clim_R
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.011349572,Clim_S
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.010308307000000003,Clim_S
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.011645393,Clim_S
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.009845580000000001,Clim_S
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.010998258,Clim_S
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.011172485000000001,Clim_S
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.012080806999999999,Clim_S
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.013153393999999999,Clim_S
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.012506515,Clim_S
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.009321879000000002,Clim_S
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.028038957000000003,Clim_T
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.029261653999999998,Clim_T
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.032605888,Clim_T
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.030082537,Clim_T
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.03263465,Clim_T
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.03247810610000001,Clim_T
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.035442901,Clim_T
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.034801306,Clim_T
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.03509711,Clim_T
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.025050360600000002,Clim_T
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.012776275000000002,Clim_U
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.011682688000000002,Clim_U
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.010992001500000001,Clim_U
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.011530512,Clim_U
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.0119939304,Clim_U
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.011837207700000001,Clim_U
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.012387357999999998,Clim_U
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.011028430999999998,Clim_U
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.0125293679,Clim_U
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.011622638,Clim_U
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.0068784729999999995,Clim_V
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.0067073819,Clim_V
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.006662015999999999,Clim_V
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.006797681,Clim_V
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.006819444,Clim_V
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.0074506639,Clim_V
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.007196644,Clim_V
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.008303761,Clim_V
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.00738861,Clim_V
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.006494201,Clim_V
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,1.4570000000000001e-05,Clim_W
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,1.0189999999999999e-05,Clim_W
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,9.8646e-06,Clim_W
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,9.926299999999998e-06,Clim_W
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,1.35159e-05,Clim_W
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,1.2560000000000002e-05,Clim_W
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,1.2671999999999998e-05,Clim_W
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,1.6912000000000003e-05,Clim_W
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,1.2355299999999998e-05,Clim_W
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,1.0454999999999999e-05,Clim_W
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.00032129239999999996,Clim_X
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.00023816449999999997,Clim_X
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.00024185979999999998,Clim_X
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.00026459880000000006,Clim_X
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.00029654479999999993,Clim_X
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.00027985220000000004,Clim_X
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.0003021818,Clim_X
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.0003388583,Clim_X
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.0003038117,Clim_X
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.0002663942,Clim_X
